expgender,exprace,separatedornot_nobarriers,separatedornot_other,separatedornot_separaterooms,age,sunkgroup,sunkDV,gainlossgroup,gainlossDV,anch1group,anch2group,anch3group,anch4group,anchoring1,anchoring2,anchoring3,anchoring4,Ranchori,RAN001,RAN002,RAN003,Ranch1,Ranch2,Ranch3,Ranch4,gambfalgroup,gambfalDV,scalesgroup,scalesreca,scalesrecb,scales,reciprocitygroup,reciprocityother,reciprocityus,allowedforbiddenGroup,allowedforbidden,quotearec,quotebrec,quoteGroup,quote,totalflagestimations,totalnoflagtimeestimations,flagfilter,flagdv,flagGroup,Sysjust,MoneyGroup,moneyfilter,ContactGroup,Imagineddv,IATfilter,partgender,IATexpart,IATexpmath,IATexp.overall,totexpmissed,IATEXPfilter,allowedforbiddena,allowedforbiddenb,anchoring1a,anchoring1b,anchoring2a,anchoring2b,anchoring3a,anchoring3b,anchoring4a,anchoring4b,artwarm,citizenship,d_donotuse,diseaseframinga,diseaseframingb,ethnicity_X1,ethnicity_X2,ethnicity_X3,flagsupplement1,flagsupplement2,flagsupplement3,flagtimeestimate1_Afternoon,flagtimeestimate1_Evening,flagtimeestimate1_Morning,flagtimeestimate2_Afternoon,flagtimeestimate2_Evening,flagtimeestimate2_Morning,flagtimeestimate3_Afternoon,flagtimeestimate3_Evening,flagtimeestimate3_Morning,flagtimeestimate4_Afternoon,flagtimeestimate4_Evening,flagtimeestimate4_Morning,gamblerfallacya,gamblerfallacyb,imaginedexplicit1,imaginedexplicit2,imaginedexplicit3,imaginedexplicit4,major,mathwarm,moneyagea,moneyageb,moneygendera,moneygenderb,nativelang,noflagtimeestimate1_Afternoon,noflagtimeestimate1_Evening,noflagtimeestimate1_Morning,noflagtimeestimate2_Afternoon,noflagtimeestimate2_Evening,noflagtimeestimate2_Morning,noflagtimeestimate3_Afternoon,noflagtimeestimate3_Evening,noflagtimeestimate3_Morning,noflagtimeestimate4_Afternoon,noflagtimeestimate4_Evening,noflagtimeestimate4_Morning,omdimc3,omdimc3rt,omdimc3trt,politicalid,quotea,quoteb,race,reciprocityothera,reciprocityotherb,reciprocityusa,reciprocityusb,scalesa,scalesb,sex,sunkcosta,sunkcostb,sysjust1,sysjust2,sysjust3,sysjust4,sysjust5,sysjust6,sysjust7,sysjust8,us_or_international,lab_or_online,order,iat_exclude
1,6,0,0,0,18,0,3,0,1,0,1,0,1,3000,3000000,5000,30000,2163.5,3637.5,1172.5,4287.5,2163.5,3637.5,1172.5,4287.5,1,2.236067977,1,0,0,1,1,0,0,1,1,6,2,0,2,8,8,0,2.625,1,4.5,0,1,1,5.5,1,0,5.833333333,2.666666667,5.583333333,0,1,0,1,3000,4000,600000,3000000,5000,36825,667,30000,87,94,0.360377187,0,0,0,0,0,8,3,2,1,0,0,0,1,0,1,0,0,0,0,1,2.236067977,1.732050808,6,2,5,9,1,14,18,21,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,22573,22583,4,4,8,14,1,1,0,1,2,1,0,9,3,3,5,4,6,5,6,4,3,0,1,2,0
1,6,0,0,0,18,0,4,0,0,0,0,1,1,3000,1000000,45000,136,2163.5,1990,5417.5,234.5,2163.5,1990,5417.5,234.5,0,1.732050808,1,0,0,1,0,0,1,1,1,3,5,1,3,7,8,0,3.375,1,4.375,0,0,1,5.25,1,0,6.166666667,3.166666667,5.5,0,1,0,1,3000,4000,1000000,3000000,7000,45000,667,136,79,45,0.316108241,0,1,0,0,0,8,4,4,0,0,1,0,0,1,1,0,0,0,1,0,2.236067977,1.732050808,4,4,6,7,7,11,18,21,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,44982,45003,1,7,5,12,1,1,1,1,2,1,0,9,4,4,5,3,4,4,7,4,4,0,1,1,0
1,6,0,0,0,18,1,9,0,0,0,0,1,1,3000,850000,35000,15000,2163.5,1708,4002,3222.5,2163.5,1708,4002,3222.5,1,6,0,0,0,1,0,0,0,0,0,6,5,0,5,8,8,0,1.875,0,4.125,0,0,0,5.25,1,0,7,3.166666667,5.916666667,0,1,0,1,3000,4000,850000,3000000,7000,35000,667,15000,100,94,1.007938756,0,1,0,1,0,11,3,4,0,0,0,0,0,0,0,0,0,0,0,0,6,1.732050808,5,4,7,5,3,39,18,21,1,1,2,1,0,0,0,0,1,1,0,0,0,1,0,1,41148,41170,1,4,5,14,1,1,1,0,3,1,0,9,8,4,4,5,7,3,3,6,1,0,1,2,0
1,6,0,0,0,18,0,9,1,0,0,1,1,0,3000,3000000,20000,500,2163.5,3637.5,2393.5,1196.5,2163.5,3637.5,2393.5,1196.5,1,6,0,0,0,1,1,0,1,0,0,6,5,0,5,8,6,0,1.75,0,3.75,1,1,0,6,1,0,3.666666667,3.166666667,4.25,0,1,0,1,3000,4000,600000,3000000,7000,20000,500,30000,39,94,0.473005799,0,1,0,0,1,11,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,1.732050808,9,5,1,9,13,41,21,18,1,1,5,0,0,1,1,0,0,0,0,1,1,0,0,1,21219,21241,2,4,5,12,1,1,1,1,1,1,0,9,9,1,4,4,4,4,5,4,4,0,1,1,0
1,6,0,0,0,18,0,9,1,1,0,0,0,1,4500,500000,20000,40000,4165.5,1215,2393.5,5018.5,4165.5,1215,2393.5,5018.5,1,3.16227766,0,0,0,1,0,0,1,0,0,6,2,0,2,7,8,0,2,1,3.25,0,0,0,8,1,0,7,2.666666667,6.166666667,0,1,0,1,4500,4000,500000,3000000,20000,36825,667,40000,92,91,0.921575925,0,1,0,1,0,7,4,4,0,0,1,1,0,0,0,0,1,0,1,0,3.16227766,1.732050808,9,6,9,8,13,10,18,21,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,20827,20848,1,4,8,14,1,1,1,1,4,1,0,9,9,3,2,3,4,5,3,4,2,0,1,2,0
0,10,0,0,0,19,1,6,1,1,0,0,1,0,3000,300000,35000,300,2163.5,566,4002,868.5,2163.5,566,4002,868.5,1,3.16227766,0,0,0,1,0,1,0,1,1,6,5,0,5,7,8,0,3.5,1,2.5,0,0,1,3.75,1,0,6.166666667,3,5.583333333,0,1,0,1,3000,4000,300000,3000000,7000,35000,300,30000,99,75,0.426062042,0,1,1,0,0,8,4,4,0,1,0,1,0,0,0,0,1,0,0,1,3.16227766,1.732050808,4,3,5,3,10,0,19,21,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,47112,47133,4,4,5,14,1,0,1,0,2,1,0,6,8,1,2,3,5,4,1,3,1,0,1,2,0
1,6,0,0,0,31,1,7,0,0,1,0,1,1,4000,200500,45300,45000,3732.5,36.5,5557.5,5307.5,3732.5,36.5,5557.5,5307.5,1,1.732050808,0,0,0,1,1,0,1,0,0,6,5,0,5,9,8,0,2.75,1,2.625,0,0,1,3.5,1,0,6.666666667,2.5,6.083333333,0,1,0,1,3000,4000,200500,3000000,7000,45300,667,45000,98,40,-0.547230757,0,1,0,1,0,9,5,6,0,1,0,0,0,1,1,0,0,0,1,0,1.732050808,1.732050808,4,3,4,3,10,10,31,21,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,47750,47759,3,4,5,2,1,1,1,1,5,1,0,7,8,1,2,3,4,3,1,6,1,0,1,1,0
1,6,0,0,0,23,0,9,1,0,0,1,0,0,2500,4200000,26246.4,10000,1189,4820.5,2804,2855.5,1189,4820.5,2804,2855.5,1,2.449489743,0,0,0,1,1,1,0,0,0,6,9,0,9,9,8,0,3.428571429,1,2.75,0,1,1,5,0,0,4.666666667,3.666666667,4.5,0,0,0,1,2500,4000,600000,4200000,7000,36825,667,30000,84,94,0.004156012,1,1,0,0,1,8,1,2,0,0,1,0,1,0,1,0,0,0,1,0,2.449489743,1.732050808,5,3,3,9,10,65,23,21,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,31566,31587,4,4,1,7,0,1,0,1,3,1,0,9,9,2,1,4,5,3,1,2,4,0,1,2,1
1,6,0,0,0,18,0,1,0,0,1,1,0,0,3000,2000000,7050,323,2163.5,2720.5,1538.5,952,2163.5,2720.5,1538.5,952,0,1,1,0,1,0,0,0,0,1,1,9,5,1,9,8,9,0,3,0,3.375,1,0,0,1,1,0,4,3,4.5,0,1,0,1,3000,3000,600000,2000000,7050,36825,323,30000,0,94,-0.320491403,0,1,0,0,0,11,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2.236067977,1,1,1,1,1,13,37,21,18,1,1,2,0,1,0,0,0,1,1,0,0,0,1,0,0,25335,25354,4,1,5,14,1,1,1,0,2,2,0,9,1,3,3,1,7,4,3,1,5,0,1,1,0
1,6,0,0,0,23,0,4,1,1,1,0,1,1,3000,300500,45000,25000,2163.5,678.5,5417.5,3892,2163.5,678.5,5417.5,3892,0,1.414213562,0,0,0,1,0,0,1,1,1,5,5,1,5,8,7,0,2.125,0,4,1,0,1,7.75,1,0,5,4,4.5,0,1,0,1,3000,3000,300500,3000000,7000,45000,667,25000,35,94,0.495847179,0,1,1,0,0,11,4,5,0,0,0,0,0,0,0,0,0,0,0,0,2.236067977,1.414213562,9,5,9,8,7,43,21,23,1,1,9,0,0,1,1,0,0,0,1,0,0,0,1,1,40118,40141,4,5,5,14,1,1,1,1,4,1,0,9,4,5,4,1,4,5,7,2,4,0,1,2,0
1,6,0,0,0,18,0,7,1,1,0,0,1,0,3000,2000000,37000,300,2163.5,2720.5,4214.5,868.5,2163.5,2720.5,4214.5,868.5,0,2,1,0,0,1,0,0,1,0,0,9,5,1,9,8,6,0,2.875,0,4.75,0,1,0,5.75,1,0,7,5.333333333,4.833333333,0,1,0,1,3000,4000,600000,3000000,7000,37000,300,30000,100,94,-0.064243216,0,1,0,1,0,11,5,3,0,0,0,0,0,0,0,0,0,0,0,0,2.236067977,2,5,4,5,9,3,79,18,21,1,1,2,0,0,1,0,1,0,1,0,0,0,0,0,1,46338,46343,4,1,5,2,1,1,1,1,2,1,0,9,7,5,2,4,7,7,4,6,3,0,1,2,0
1,6,0,0,0,19,0,9,1,1,0,0,0,0,2500,700000,4000,353,1189,1516.5,906,995,1189,1516.5,906,995,1,1,1,0,1,0,1,1,0,1,0,6,9,0,9,8,8,0,2.875,1,2.625,0,0,0,4.25,1,0,5.333333333,3,5.166666667,0,1,0,1,2500,4000,700000,3000000,4000,36825,353,30000,30,94,-0.21662714,0,1,0,1,0,11,4,4,1,0,0,0,0,1,1,0,0,0,1,0,1,1.732050808,6,1,9,1,10,3,19,21,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,23762,23784,2,4,1,2,0,1,0,1,2,6,0,9,9,1,1,1,1,4,7,1,5,0,1,2,0
1,6,0,0,0,20,1,9,1,0,0,0,0,1,3000,2000000,26246.4,35000,2163.5,2720.5,2804,4662.5,2163.5,2720.5,2804,4662.5,0,2,1,0,0,1,1,1,0,1,0,6,4,0,4,8,7,0,2.25,0,2.5,1,0,1,4.75,1,0,6,2.666666667,5.666666667,0,1,0,0,3000,4000,600000,3000000,7000,36825,667,35000,96,94,-1.121574218,1,1,0,1,0,11,4,5,0,0,0,0,0,0,0,0,0,0,0,0,2.236067977,2,6,3,7,3,10,7,21,20,1,1,2,0,0,1,1,0,0,0,0,1,0,1,0,1,30544,30563,4,4,6,14,0,1,0,1,2,1,0,9,8,2,2,3,2,2,1,4,4,0,1,1,0
1,6,0,0,0,20,1,7,0,0,1,1,1,1,2000,780000,42000,10000,580,1582,4950.5,2855.5,580,1582,4950.5,2855.5,1,2.236067977,1,0,1,0,1,0,0,1,0,4,5,1,4,9,8,0,4.375,1,4.25,1,0,1,5.25,1,1,5.166666667,5.5,3.833333333,0,1,0,0,3000,2000,600000,780000,7000,42000,667,10000,55,94,-0.836691783,0,1,0,1,0,7,3,3,0,1,0,0,1,0,1,0,0,0,0,1,2.236067977,1.732050808,4,6,6,5,10,62,21,20,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4333,4354,3,6,5,2,1,1,0,1,2,5,1,7,8,5,5,5,5,3,6,1,4,0,1,2,0
1,6,0,0,0,19,1,9,0,1,0,0,0,1,1800,250000,26246.4,1000,251,287,2804,1656,251,287,2804,1656,1,3.16227766,1,0,0,1,0,1,1,1,1,6,1,0,1,7,8,0,2.25,1,4.25,0,1,1,3.5,1,1,6.333333333,6.333333333,4,0,1,0,1,1800,4000,250000,3000000,7000,36825,667,1000,62,94,-0.174957786,0,0,0,1,0,7,3,4,0,0,1,0,0,1,1,0,0,0,1,0,3.16227766,1.732050808,6,2,5,1,13,76,19,21,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,23043,23065,2,4,9,4,1,0,1,1,2,1,1,9,8,3,3,7,2,4,4,5,6,0,1,1,0
1,6,0,0,0,20,0,9,1,1,0,1,0,1,3500,2000000,7000,15000,3216,2720.5,1509.5,3222.5,3216,2720.5,1509.5,3222.5,1,10,0,1,0,0,0,0,1,0,0,6,5,0,5,8,8,0,2.5,0,2.25,0,0,1,5.75,1,0,7,7,4,0,1,0,1,3500,4000,600000,2000000,7000,36825,667,15000,69,94,0.300082797,0,1,0,1,0,8,7,5,0,0,0,0,0,0,0,0,0,0,0,0,10,1.732050808,5,5,5,8,10,71,20,21,1,1,2,0,1,0,1,0,0,0,0,1,1,0,0,0,6441,6460,4,4,5,2,1,1,1,1,6,1,0,9,9,1,1,4,1,1,3,3,4,0,1,1,0
1,6,0,0,0,20,0,9,1,1,1,1,1,0,3400,425600,30432,563,3035.5,994,3751,1318,3035.5,994,3751,1318,1,2.236067977,0,0,0,1,0,1,0,0,1,6,3,0,3,7,8,0,3.625,1,3.125,1,0,0,3.25,1,0,5,5.666666667,3.666666667,0,1,1,1,3000,3400,600000,425600,7000,30432,563,30000,40,94,1.170874287,0,1,0,1,0,10,3,4,0,1,0,1,0,0,0,0,1,0,0,1,2.236067977,1.732050808,4,2,5,2,10,68,21,20,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,33423,33442,6,4,7,14,1,0,1,0,1,1,0,9,9,2,3,4,6,3,3,1,3,0,1,2,0
1,6,0,0,0,19,0,9,0,1,1,1,0,0,2500,3000000,8000,10000,1189,3637.5,1589,2855.5,1189,3637.5,1589,2855.5,0,3.464101615,0,0,0,1,0,0,1,1,1,5,5,1,5,7,8,0,4.625,1,2.75,1,0,0,4.25,1,0,7,2.8,6.181818182,1,0,0,1,3000,2500,600000,3000000,8000,36825,667,30000,100,94,-0.924311652,0,0,0,1,0,7,2,2,0,0,1,1,0,0,0,0,1,0,1,0,2.236067977,3.464101615,2,2,5,8,11,18,21,19,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,33258,33281,6,5,5,14,1,1,1,1,2,1,0,9,9,3,1,1,6,7,1,1,2,0,1,1,0
1,6,0,0,0,20,0,9,1,1,1,0,1,1,5000,350000,37000,20000,4676,777.5,4214.5,3504,4676,777.5,4214.5,3504,1,14.6628783,1,0,0,1,0,0,1,0,0,2,5,1,2,8,8,0,2.125,0,4,1,1,1,2.5,1,1,6.333333333,5.5,4.416666667,0,1,0,1,3000,5000,350000,3000000,7000,37000,667,20000,87,94,0.153596098,0,1,0,1,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,14.6628783,1.732050808,2,3,2,3,2,56,21,20,1,0,5,1,0,0,0,0,1,1,0,0,0,1,0,1,29248,29258,4,8,5,4,1,1,1,1,2,1,1,9,9,3,4,2,7,5,5,2,4,0,1,2,0
0,6,1,0,0,18,0,5,0,0,1,1,1,0,5500,4000000,25000,10000,5082,4604.5,2662.5,2855.5,5082,4604.5,2662.5,2855.5,1,1.732050808,0,0,0,1,1,0,0,1,0,8,5,1,8,8,8,0,5.375,0,5,0,0,1,3.5,1,1,4.166666667,4.166666667,4,0,1,0,1,3000,5500,600000,4000000,7000,25000,667,30000,48,94,-0.512468857,0,1,0,0,0,11,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1.732050808,1.732050808,5,3,5,1,7,51,18,21,0,1,2,1,0,0,0,0,1,1,0,0,0,1,0,0,21987,21998,7,2,5,14,1,1,0,1,3,1,1,9,5,6,4,5,7,5,7,2,4,0,1,1,0
0,6,1,0,0,19,0,9,0,1,1,1,1,1,3000,4500000,40000,32000,2163.5,4972,4642,4510,2163.5,4972,4642,4510,0,2,0,1,0,0,0,0,0,1,0,6,4,0,4,8,9,0,1.75,0,4.375,1,0,1,2.75,1,1,5.5,4.333333333,4.583333333,0,1,0,0,3000,3000,600000,4500000,7000,40000,667,32000,81,94,0.333545542,0,0,1,0,0,11,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2.236067977,1.732050808,3,1,4,3,10,74,21,19,1,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0,34204,34223,1,4,6,14,1,1,1,0,6,1,1,9,9,3,5,5,4,4,5,5,4,0,1,1,0
0,6,1,0,0,20,1,9,1,0,1,1,1,1,3000,900000,40000,25000,2163.5,1740.5,4642,3892,2163.5,1740.5,4642,3892,0,1.732050808,1,0,0,1,0,1,0,0,0,6,5,0,5,8,7,0,2.285714286,0,3.125,1,0,1,6.5,0,0,7,3,6,0,0,0,1,3000,3000,600000,900000,7000,40000,667,25000,100,94,0.004156012,1,1,0,0,1,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2.236067977,1.732050808,7,5,5,9,10,0,21,20,1,1,2,1,0,0,1,0,0,0,0,1,1,0,0,1,24869,24890,4,4,5,14,1,0,1,0,2,1,0,9,8,7,1,4,1,6,4,1,1,0,1,1,1
0,6,1,0,0,22,0,7,0,0,0,1,0,1,5000,3200000,26246.4,20000,4676,4014,2804,3504,4676,4014,2804,3504,0,2.449489743,1,0,0,1,0,0,1,0,0,6,7,0,7,8,8,0,3.5,1,3.125,1,0,0,6,1,1,6.166666667,2.666666667,5.75,0,1,0,1,5000,4000,600000,3200000,7000,36825,667,20000,73,94,0.408730768,0,1,0,0,0,8,3,3,1,0,0,0,0,1,1,0,0,0,1,0,2.236067977,2.449489743,7,5,7,5,2,19,21,22,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,47022,47030,6,4,3,14,1,1,1,1,2,1,1,9,7,3,2,1,5,3,3,3,5,0,1,1,0
